month,year,trips,transport_type,load_timestamp
"Jan","2026","56","Hamriy","2026-02-27 02:23:27"
"Jan","2026","1371","Sharja","2026-02-27 02:23:27"
"Jan","2026","1961","JVC, W","2026-02-27 02:23:27"
"Jan","2026","505","Ras Al","2026-02-27 02:23:27"
"Jan","2026","22868","Financ","2026-02-27 02:23:27"
"Jan","2026","462","Dubai ","2026-02-27 02:23:27"
"Jan","2026","196","Al Bak","2026-02-27 02:23:27"
"Jan","2026","1064","UAE Ex","2026-02-27 02:23:27"
"Jan","2026","16","Minist","2026-02-27 02:23:27"
"Jan","2026","3","Al Mad","2026-02-27 02:23:27"
"Jan","2026","150","Ras Al","2026-02-27 02:23:27"
"Jan","2026","29","Wasl P","2026-02-27 02:23:27"
"Jan","2026","221","Rostam","2026-02-27 02:23:27"
"Jan","2026","436","Interc","2026-02-27 02:23:27"
"Jan","2026","368","Al Min","2026-02-27 02:23:27"
"Jan","2026","216","Muhais","2026-02-27 02:23:27"
"Jan","2026","27","Jaddaf","2026-02-27 02:23:27"
"Jan","2026","800","Intern","2026-02-27 02:23:27"
"Jan","2026","78","Depa C","2026-02-27 02:23:27"
"Jan","2026","19870","Mashre","2026-02-27 02:23:27"
"Jan","2026","145","The Gr","2026-02-27 02:23:27"
"Jan","2026","392","Dubai ","2026-02-27 02:23:27"
"Jan","2026","522","Hudhei","2026-02-27 02:23:27"
"Jan","2026","24","Hidaya","2026-02-27 02:23:27"
"Jan","2026","201","GGICO ","2026-02-27 02:23:27"
"Jan","2026","235","Dubai ","2026-02-27 02:23:27"
"Jan","2026","1659","Intern","2026-02-27 02:23:27"
"Jan","2026","103","Qaser ","2026-02-27 02:23:27"
"Jan","2026","45478","Mall o","2026-02-27 02:23:27"
"Jan","2026","12","Summit","2026-02-27 02:23:27"
"Jan","2026","220","Damasc","2026-02-27 02:23:27"
"Jan","2026","102","Silico","2026-02-27 02:23:27"
"Jan","2026","16025","Abu Ha","2026-02-27 02:23:27"
"Jan","2026","7","Berger","2026-02-27 02:23:27"
"Jan","2026","121","Deira,","2026-02-27 02:23:27"
"Jan","2026","912","Ras Al","2026-02-27 02:23:27"
"Jan","2026","242","Hor Al","2026-02-27 02:23:27"
"Jan","2026","256","Sheikh","2026-02-27 02:23:27"
